start_chrom,start_pos,stop_chrom,stop_pos,altSiteCount,refSiteCount,avgDepth,avgRefReads,avgAltReads,avgOtherReads
pseudo20,1,pseudo20,50,1,49.0,55.42,55.22,0.1,0.0
pseudo20,51,pseudo20,100,2,48.0,156.88,155.18,1.66,0.04
pseudo20,101,pseudo20,150,2,48.0,196.2,195.44,0.66,0.02
pseudo20,151,pseudo20,200,1,49.0,200.54,200.02,0.24,0.0
pseudo20,201,pseudo20,250,1,49.0,204.14,202.1,1.74,0.0
pseudo20,251,pseudo20,300,0,50.0,200.68,200.68,0.0,0.0
pseudo20,301,pseudo20,350,1,49.0,229.42,226.96,2.44,0.02
pseudo20,351,pseudo20,400,0,50.0,234.74,234.5,0.0,0.0
pseudo20,401,pseudo20,450,0,50.0,251.06,250.2,0.0,0.0
pseudo20,451,pseudo20,500,0,50.0,276.2,276.2,0.0,0.0
pseudo20,501,pseudo20,550,0,50.0,257.92,257.82,0.0,0.0
pseudo20,551,pseudo20,600,0,50.0,248.62,248.36,0.0,0.0
pseudo20,601,pseudo20,650,1,49.0,247.88,245.3,2.58,0.0
pseudo20,651,pseudo20,700,0,50.0,230.82,230.82,0.0,0.0
pseudo20,701,pseudo20,750,0,50.0,208.1,208.08,0.0,0.0
pseudo20,751,pseudo20,800,2,48.0,201.46,197.46,3.62,0.0
pseudo20,801,pseudo20,850,0,50.0,207.76,207.76,0.0,0.0
pseudo20,851,pseudo20,900,2,48.0,245.52,242.16,3.3,0.06
pseudo20,901,pseudo20,950,2,48.0,261.38,260.1,1.24,0.02
pseudo20,951,pseudo20,1000,1,49.0,229.24,227.2,1.98,0.0
pseudo20,1001,pseudo20,1050,1,49.0,228.2,226.02,2.18,0.0
pseudo20,1051,pseudo20,1100,0,50.0,242.52,242.5,0.0,0.0
pseudo20,1101,pseudo20,1150,1,49.0,258.76,256.26,2.44,0.0
pseudo20,1151,pseudo20,1200,0,50.0,267.76,267.44,0.0,0.0
pseudo20,1201,pseudo20,1250,0,50.0,253.44,253.36,0.0,0.0
pseudo20,1251,pseudo20,1300,1,49.0,252.68,250.36,2.3,0.0
pseudo20,1301,pseudo20,1350,2,48.0,266.98,263.68,3.3,0.0
pseudo20,1351,pseudo20,1400,3,47.0,243.48,240.3,3.16,0.02
pseudo20,1401,pseudo20,1450,0,50.0,182.9,182.9,0.0,0.0
pseudo20,1451,pseudo20,1500,2,48.0,154.8,150.54,4.12,0.02
pseudo20,1501,pseudo20,1550,2,48.0,163.36,161.62,1.64,0.0
pseudo20,1551,pseudo20,1600,0,50.0,173.1,173.1,0.0,0.0
pseudo20,1601,pseudo20,1650,1,49.0,182.18,180.5,1.52,0.0
pseudo20,1651,pseudo20,1700,1,49.0,209.1,207.0,2.1,0.0
pseudo20,1701,pseudo20,1750,0,50.0,223.92,223.92,0.0,0.0
pseudo20,1751,pseudo20,1800,0,50.0,223.76,223.76,0.0,0.0
pseudo20,1801,pseudo20,1850,0,50.0,234.5,234.5,0.0,0.0
pseudo20,1851,pseudo20,1900,1,49.0,226.76,224.6,2.14,0.0
pseudo20,1901,pseudo20,1950,0,50.0,220.92,220.9,0.0,0.0
pseudo20,1951,pseudo20,2000,0,50.0,246.94,246.94,0.0,0.0
pseudo20,2001,pseudo20,2050,0,50.0,276.0,276.0,0.0,0.0
pseudo20,2051,pseudo20,2100,1,49.0,255.24,252.94,2.3,0.0
pseudo20,2101,pseudo20,2150,3,47.0,218.08,208.76,9.04,0.02
pseudo20,2151,pseudo20,2200,0,50.0,230.1,230.1,0.0,0.0
