start_chrom,start_pos,stop_chrom,stop_pos,altSiteCount,refSiteCount,avgDepth,avgRefReads,avgAltReads,avgOtherReads
mitochondrion,1,mitochondrion,50,0,50.0,2957.08,2956.96,0.0,0.0
mitochondrion,51,mitochondrion,100,0,50.0,2989.92,2989.48,0.0,0.0
mitochondrion,101,mitochondrion,150,0,50.0,2999.02,2998.3,0.0,0.0
mitochondrion,151,mitochondrion,200,0,50.0,2999.0,2998.1,0.0,0.0
mitochondrion,201,mitochondrion,250,0,50.0,2999.24,2998.7,0.0,0.0
mitochondrion,251,mitochondrion,300,0,50.0,2998.8,2998.18,0.0,0.0
mitochondrion,301,mitochondrion,350,0,50.0,2999.6,2998.86,0.0,0.0
mitochondrion,351,mitochondrion,400,0,50.0,2998.84,2997.68,0.0,0.0
mitochondrion,401,mitochondrion,450,0,50.0,2999.38,2998.28,0.0,0.0
mitochondrion,451,mitochondrion,500,0,50.0,2998.54,2998.02,0.0,0.0
mitochondrion,501,mitochondrion,550,0,50.0,2997.86,2997.5,0.0,0.0
mitochondrion,551,mitochondrion,600,0,50.0,2998.38,2997.94,0.0,0.0
mitochondrion,601,mitochondrion,650,0,50.0,2998.22,2997.12,0.0,0.0
mitochondrion,651,mitochondrion,700,0,50.0,2999.0,2998.32,0.0,0.0
mitochondrion,701,mitochondrion,750,0,50.0,2998.32,2997.78,0.0,0.0
mitochondrion,751,mitochondrion,800,0,50.0,2998.2,2993.74,0.0,0.0
mitochondrion,801,mitochondrion,850,0,50.0,2997.92,2997.82,0.0,0.0
mitochondrion,851,mitochondrion,900,0,50.0,2998.86,2998.32,0.0,0.0
mitochondrion,901,mitochondrion,950,0,50.0,2998.6,2997.18,0.0,0.0
mitochondrion,951,mitochondrion,1000,0,50.0,2999.3,2997.48,0.0,0.0
mitochondrion,1001,mitochondrion,1050,0,50.0,2999.26,2998.28,0.0,0.0
mitochondrion,1051,mitochondrion,1100,0,50.0,2998.62,2997.88,0.0,0.0
mitochondrion,1101,mitochondrion,1150,0,50.0,2998.0,2996.66,0.0,0.0
mitochondrion,1151,mitochondrion,1200,0,50.0,2998.68,2997.58,0.0,0.0
mitochondrion,1201,mitochondrion,1250,0,50.0,2998.84,2996.68,0.0,0.0
mitochondrion,1251,mitochondrion,1300,0,50.0,2999.0,2998.48,0.0,0.0
mitochondrion,1301,mitochondrion,1350,0,50.0,2999.18,2998.62,0.0,0.0
mitochondrion,1351,mitochondrion,1400,0,50.0,2998.8,2998.34,0.0,0.0
mitochondrion,1401,mitochondrion,1450,0,50.0,2998.76,2998.66,0.0,0.0
mitochondrion,1451,mitochondrion,1500,0,50.0,2999.74,2999.1,0.0,0.0
mitochondrion,1501,mitochondrion,1550,0,50.0,2998.52,2997.44,0.0,0.0
mitochondrion,1551,mitochondrion,1600,0,50.0,2999.42,2998.78,0.0,0.0
mitochondrion,1601,mitochondrion,1650,0,50.0,2998.44,2993.56,0.0,0.0
mitochondrion,1651,mitochondrion,1700,0,50.0,2999.72,2998.48,0.0,0.0
mitochondrion,1701,mitochondrion,1750,0,50.0,2999.36,2998.0,0.0,0.0
mitochondrion,1751,mitochondrion,1800,0,50.0,2999.7,2998.76,0.0,0.0
mitochondrion,1801,mitochondrion,1850,0,50.0,2999.84,2999.28,0.0,0.0
mitochondrion,1851,mitochondrion,1900,0,50.0,2999.54,2999.08,0.0,0.0
mitochondrion,1901,mitochondrion,1950,0,50.0,2999.82,2999.02,0.0,0.0
mitochondrion,1951,mitochondrion,2000,0,50.0,2999.18,2998.74,0.0,0.0
mitochondrion,2001,mitochondrion,2050,0,50.0,2998.96,2998.9,0.0,0.0
mitochondrion,2051,mitochondrion,2100,0,50.0,2998.88,2998.2,0.0,0.0
mitochondrion,2101,mitochondrion,2150,0,50.0,2998.06,2996.0,0.0,0.0
mitochondrion,2151,mitochondrion,2200,0,50.0,2999.12,2998.94,0.0,0.0
mitochondrion,2201,mitochondrion,2250,0,50.0,2998.88,2998.38,0.0,0.0
mitochondrion,2251,mitochondrion,2300,0,50.0,2998.14,2997.42,0.0,0.0
mitochondrion,2301,mitochondrion,2350,0,50.0,2999.26,2999.22,0.0,0.0
mitochondrion,2351,mitochondrion,2400,0,50.0,2999.28,2999.16,0.0,0.0
mitochondrion,2401,mitochondrion,2450,0,50.0,2998.56,2997.86,0.0,0.0
mitochondrion,2451,mitochondrion,2500,0,50.0,2997.86,2996.1,0.0,0.0
mitochondrion,2501,mitochondrion,2550,0,50.0,2998.14,2996.22,0.0,0.0
mitochondrion,2551,mitochondrion,2600,0,50.0,2999.64,2999.48,0.0,0.0
mitochondrion,2601,mitochondrion,2650,0,50.0,2998.92,2998.62,0.0,0.0
mitochondrion,2651,mitochondrion,2700,0,50.0,2999.18,2998.72,0.0,0.0
mitochondrion,2701,mitochondrion,2750,0,50.0,2998.7,2998.32,0.0,0.0
mitochondrion,2751,mitochondrion,2800,0,50.0,2999.36,2998.92,0.0,0.0
mitochondrion,2801,mitochondrion,2850,0,50.0,2998.7,2997.78,0.0,0.0
mitochondrion,2851,mitochondrion,2900,0,50.0,2999.28,2997.96,0.0,0.0
mitochondrion,2901,mitochondrion,2950,0,50.0,2999.3,2999.04,0.0,0.0
mitochondrion,2951,mitochondrion,3000,0,50.0,2998.7,2997.68,0.0,0.0
mitochondrion,3001,mitochondrion,3050,0,50.0,2998.86,2998.4,0.0,0.0
mitochondrion,3051,mitochondrion,3100,0,50.0,2998.82,2998.38,0.0,0.0
mitochondrion,3101,mitochondrion,3150,0,50.0,2998.52,2997.88,0.0,0.0
mitochondrion,3151,mitochondrion,3200,0,50.0,2998.5,2998.22,0.0,0.0
mitochondrion,3201,mitochondrion,3250,0,50.0,2998.8,2998.52,0.0,0.0
mitochondrion,3251,mitochondrion,3300,0,50.0,2999.82,2999.64,0.0,0.0
mitochondrion,3301,mitochondrion,3350,0,50.0,2998.86,2997.48,0.0,0.0
mitochondrion,3351,mitochondrion,3400,0,50.0,2999.24,2999.14,0.0,0.0
mitochondrion,3401,mitochondrion,3450,0,50.0,2999.08,2998.72,0.0,0.0
mitochondrion,3451,mitochondrion,3500,0,50.0,2997.96,2997.7,0.0,0.0
mitochondrion,3501,mitochondrion,3550,0,50.0,2998.74,2997.18,0.0,0.0
mitochondrion,3551,mitochondrion,3600,0,50.0,2999.04,2998.92,0.0,0.0
mitochondrion,3601,mitochondrion,3650,0,50.0,2998.6,2998.46,0.0,0.0
mitochondrion,3651,mitochondrion,3700,0,50.0,2999.36,2999.08,0.0,0.0
mitochondrion,3701,mitochondrion,3750,0,50.0,2998.32,2997.76,0.0,0.0
mitochondrion,3751,mitochondrion,3800,0,50.0,2998.22,2987.46,0.0,0.0
mitochondrion,3801,mitochondrion,3850,0,50.0,2999.42,2999.12,0.0,0.0
mitochondrion,3851,mitochondrion,3900,0,50.0,2999.04,2998.72,0.0,0.0
mitochondrion,3901,mitochondrion,3950,0,50.0,2999.46,2998.92,0.0,0.0
mitochondrion,3951,mitochondrion,4000,0,50.0,2999.42,2998.62,0.0,0.0
mitochondrion,4001,mitochondrion,4050,0,50.0,2999.3,2996.1,0.0,0.0
mitochondrion,4051,mitochondrion,4100,0,50.0,2999.44,2998.88,0.0,0.0
mitochondrion,4101,mitochondrion,4150,0,50.0,2999.14,2998.68,0.0,0.0
mitochondrion,4151,mitochondrion,4200,0,50.0,2999.44,2999.18,0.0,0.0
mitochondrion,4201,mitochondrion,4250,0,50.0,2999.28,2999.16,0.0,0.0
mitochondrion,4251,mitochondrion,4300,0,50.0,2998.76,2997.34,0.0,0.0
mitochondrion,4301,mitochondrion,4350,0,50.0,2999.2,2998.16,0.0,0.0
mitochondrion,4351,mitochondrion,4400,0,50.0,2997.9,2997.02,0.0,0.0
mitochondrion,4401,mitochondrion,4450,0,50.0,2998.88,2996.58,0.0,0.0
mitochondrion,4451,mitochondrion,4500,0,50.0,2999.56,2999.48,0.0,0.0
mitochondrion,4501,mitochondrion,4550,0,50.0,2999.78,2999.12,0.0,0.0
mitochondrion,4551,mitochondrion,4600,0,50.0,2998.06,2997.34,0.0,0.0
mitochondrion,4601,mitochondrion,4650,0,50.0,2999.28,2999.0,0.0,0.0
mitochondrion,4651,mitochondrion,4700,0,50.0,2998.5,2997.56,0.0,0.0
mitochondrion,4701,mitochondrion,4750,0,50.0,2998.66,2997.98,0.0,0.0
mitochondrion,4751,mitochondrion,4800,0,50.0,2999.7,2999.28,0.0,0.0
mitochondrion,4801,mitochondrion,4850,0,50.0,2998.82,2998.28,0.0,0.0
mitochondrion,4851,mitochondrion,4900,0,50.0,2999.14,2998.8,0.0,0.0
mitochondrion,4901,mitochondrion,4950,0,50.0,2999.14,2996.7,0.0,0.0
mitochondrion,4951,mitochondrion,5000,0,50.0,2999.18,2998.22,0.0,0.0
mitochondrion,5001,mitochondrion,5050,0,50.0,2998.98,2997.5,0.0,0.0
mitochondrion,5051,mitochondrion,5100,0,50.0,2998.38,2996.08,0.0,0.0
mitochondrion,5101,mitochondrion,5150,0,50.0,2999.8,2999.7,0.0,0.0
mitochondrion,5151,mitochondrion,5200,0,50.0,2998.22,2996.64,0.0,0.0
mitochondrion,5201,mitochondrion,5250,0,50.0,2998.44,2997.78,0.0,0.0
mitochondrion,5251,mitochondrion,5300,0,50.0,2997.44,2996.26,0.0,0.0
mitochondrion,5301,mitochondrion,5350,0,50.0,2998.4,2997.54,0.0,0.0
mitochondrion,5351,mitochondrion,5400,0,50.0,2998.66,2998.18,0.0,0.0
mitochondrion,5401,mitochondrion,5450,0,50.0,2998.88,2998.56,0.0,0.0
mitochondrion,5451,mitochondrion,5500,0,50.0,2999.26,2998.68,0.0,0.0
mitochondrion,5501,mitochondrion,5550,0,50.0,2998.92,2998.5,0.0,0.0
mitochondrion,5551,mitochondrion,5600,0,50.0,2999.48,2997.98,0.0,0.0
mitochondrion,5601,mitochondrion,5650,0,50.0,2999.46,2999.3,0.0,0.0
