start_chrom,start_pos,stop_chrom,stop_pos,altSiteCount,refSiteCount,avgDepth,avgRefReads,avgAltReads,avgOtherReads
chloroplast,1,chloroplast,50,0,50.0,2996.58,2995.74,0.0,0.0
chloroplast,51,chloroplast,100,0,50.0,2995.12,2993.78,0.0,0.0
chloroplast,101,chloroplast,150,0,50.0,2994.1,2992.46,0.0,0.0
chloroplast,151,chloroplast,200,0,50.0,2997.82,2996.9,0.0,0.0
chloroplast,201,chloroplast,250,0,50.0,2996.58,2995.68,0.0,0.0
chloroplast,251,chloroplast,300,0,50.0,2997.86,2996.82,0.0,0.0
chloroplast,301,chloroplast,350,0,50.0,2996.08,2994.9,0.0,0.0
chloroplast,351,chloroplast,400,0,50.0,2996.36,2995.08,0.0,0.0
chloroplast,401,chloroplast,450,2,48.0,2993.12,2875.66,0.34,0.14
chloroplast,451,chloroplast,500,2,48.0,2982.82,2512.72,10.62,0.24
chloroplast,501,chloroplast,550,0,50.0,2995.76,2994.08,0.0,0.0
chloroplast,551,chloroplast,600,0,50.0,2995.68,2994.58,0.0,0.0
chloroplast,601,chloroplast,650,0,50.0,2997.6,2996.86,0.0,0.0
chloroplast,651,chloroplast,700,0,50.0,2997.26,2996.08,0.0,0.0
chloroplast,701,chloroplast,750,0,50.0,2997.36,2993.48,0.0,0.0
chloroplast,751,chloroplast,800,0,50.0,2998.08,2997.26,0.0,0.0
chloroplast,801,chloroplast,850,0,50.0,2997.24,2995.18,0.0,0.0
chloroplast,851,chloroplast,900,0,50.0,2996.7,2992.72,0.0,0.0
chloroplast,901,chloroplast,950,0,50.0,2997.52,2995.84,0.0,0.0
chloroplast,951,chloroplast,1000,0,50.0,2997.12,2995.32,0.0,0.0
chloroplast,1001,chloroplast,1050,0,50.0,2996.86,2995.34,0.0,0.0
chloroplast,1051,chloroplast,1100,0,50.0,2996.78,2992.14,0.0,0.0
chloroplast,1101,chloroplast,1150,0,50.0,2997.98,2991.48,0.0,0.0
chloroplast,1151,chloroplast,1200,0,50.0,2998.0,2996.18,0.0,0.0
chloroplast,1201,chloroplast,1250,0,50.0,2996.2,2995.5,0.0,0.0
chloroplast,1251,chloroplast,1300,0,50.0,2997.36,2995.18,0.0,0.0
chloroplast,1301,chloroplast,1350,0,50.0,2996.98,2993.94,0.0,0.0
chloroplast,1351,chloroplast,1400,0,50.0,2997.26,2995.02,0.0,0.0
chloroplast,1401,chloroplast,1450,0,50.0,2998.56,2994.64,0.0,0.0
chloroplast,1451,chloroplast,1500,0,50.0,2997.02,2996.26,0.0,0.0
